tbl_calc_nme;wf_nme;tsk_nme;lst_saccess_dt;tsk_status;src_tbl_nme;trg_tbl_nme;dependency_lvl
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_TM_2_ADB_TM_ISCAM_VSSOI_AKCIZ_1151095_full;tsk_sql_transformer_DL_IAR_VSSOI_AKCIZ_1151095_full;2025-08-16T00:40:39.152Z;SUCCEEDED;dl_tm.t1151095_document;dl_iar.vssoi_akciz_1151095;1
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_TM_2_ADB_TM_ISCAM_VSSOI_LIC_ZHM_full;tsk_sql_transformer_DL_IAR_VSSOI_LIC_ZHM_full;2025-08-16T00:16:03.370Z;SUCCEEDED;dl_tm.t1110012_document;dl_iar.vssoi_lic_zhm;1
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_TM_2_ADB_TM_ISCAM_VSSOI_AKCIZ_1151095_full;tsk_sql_transformer_DL_IAR_VSSOI_AKCIZ_1151095_full;2025-08-16T00:40:39.152Z;SUCCEEDED;dl_tm.t1151095_r1_m;dl_iar.vssoi_akciz_1151095;1
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_TM_2_ADB_TM_ISCAM_VSSOI_LIC_ZHM_full;tsk_sql_transformer_DL_IAR_VSSOI_LIC_ZHM_full;2025-08-16T00:16:03.370Z;SUCCEEDED;dl_tm.t1110012_r1_t;dl_iar.vssoi_lic_zhm;1
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_TM_2_ADB_TM_ISCAM_VSSOI_VODNAL_full;tsk_sql_transformer_DL_IAR_VSSOI_VODNAL_full;2025-08-16T00:35:51.644Z;SUCCEEDED;dl_tm.t1151072_r1_t;dl_iar.vssoi_vodnal;1
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_TM_2_ADB_TM_ISCAM_VSSOI_VODNAL_full;tsk_sql_transformer_DL_IAR_VSSOI_VODNAL_full;2025-08-16T00:35:51.644Z;SUCCEEDED;dl_tm.t1151072_document;dl_iar.vssoi_vodnal;1
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1151072_document;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_taxpayer;dl_tm.t1110012_document;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;2025-08-15T00:50:03.143Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1151072_document;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1151072_document;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsknp_complex;dl_tm.t1110012_document;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1151095_document;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TMP_TM_T1151095_DOCUMENT_full;2025-08-15T00:55:14.759Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1151095_document;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_R1_M_full;2025-08-15T02:28:50.621Z;SUCCEEDED;DL_RAW.camsdata_t557_r1;dl_tm.t1151095_r1_m;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1110012_document;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;dl_raw.camsnbo_incsdocument;dl_tm.t1151095_document;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;dl_raw.camsknp_complex;dl_tm.t1151072_document;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TMP_TM_T1110012_DOCUMENT_full;2025-08-15T00:52:14.711Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1110012_document;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1151095_document;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TMP_TM_T1151095_DOCUMENT_full;2025-08-15T00:55:14.759Z;SUCCEEDED;dl_raw.camsnbo_incsdocument;dl_tm.t1151095_document;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;DL_RAW.CAMsNBO_INCsDOCUMENT;dl_tm.t1151072_document;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;DL_RAW.CAMsNBO_INCsDOCUMENT_TAXPAYER;dl_tm.t1151072_document;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TMP_TM_T1110012_DOCUMENT_full;2025-08-15T00:52:14.711Z;SUCCEEDED;dl_raw.camsnbo_incsdocument;dl_tm.t1110012_document;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsnbo_incsdocument;dl_tm.t1110012_document;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1110012_document;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;2025-08-15T00:50:03.143Z;SUCCEEDED;DL_RAW.CAMsNBO_INCsDOCUMENT;dl_tm.t1151072_document;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TMP_TM_T1110012_DOCUMENT_full;2025-08-15T00:52:14.711Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1110012_document;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;DL_RAW.CAMsNBO_INCsDOCUMENT_TAXPAYER;dl_tm.t1151095_document;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_R1_T_full;2025-08-15T02:37:51.602Z;SUCCEEDED;dl_raw.camsdata_t097_r1_t1;dl_tm.t1110012_r1_t;2
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_R1_T_full;2025-08-15T02:37:51.602Z;SUCCEEDED;dl_tm.t1110012_r1_m;dl_tm.t1110012_r1_t;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_R1_T_full;2025-08-15T02:25:14.330Z;SUCCEEDED;DL_RAW.camsdata_t251_r1;dl_tm.t1151072_r1_t;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;2025-08-15T00:50:03.143Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1151072_document;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TMP_TM_T1151095_DOCUMENT_full;2025-08-15T00:55:14.759Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1151095_document;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_R1_T_full;2025-08-15T02:25:14.330Z;SUCCEEDED;DL_RAW.camsdata_t251_r1_t1;dl_tm.t1151072_r1_t;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_R1_M_full;2025-08-15T02:28:50.621Z;SUCCEEDED;DL_RAW.camsdata_t748_r1;dl_tm.t1151095_r1_m;2
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;dl_raw.camsknp_complex;dl_tm.t1151095_document;2
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_R1_T_full;2025-08-15T02:25:14.330Z;SUCCEEDED;DL_RAW.camsdata_t251_r1;dl_tm.t1151072_r1_t;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TMP_TM_T1110012_DOCUMENT_full;2025-08-15T00:52:14.711Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1110012_document;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1151095_document;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_R1_M_full;2025-08-15T02:28:50.621Z;SUCCEEDED;DL_RAW.camsdata_t557_r1;dl_tm.t1151095_r1_m;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1151095_document;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_R1_T_full;2025-08-15T02:37:51.602Z;SUCCEEDED;dl_raw.camsdata_t097_r1_t1;dl_tm.t1110012_r1_t;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_taxpayer;dl_tm.t1110012_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;2025-08-15T00:50:03.143Z;SUCCEEDED;DL_RAW.CAMsNBO_INCsDOCUMENT;dl_tm.t1151072_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;2025-08-15T00:50:03.143Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1151072_document;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsknp_complex;dl_tm.t1110012_document;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_R1_M_full;2025-08-15T02:28:50.621Z;SUCCEEDED;DL_RAW.camsdata_t748_r1;dl_tm.t1151095_r1_m;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TMP_TM_T1110012_DOCUMENT_full;2025-08-15T00:52:14.711Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1110012_document;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1110012_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;dl_raw.camsknp_complex;dl_tm.t1151072_document;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TMP_TM_T1151095_DOCUMENT_full;2025-08-15T00:55:14.759Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1151095_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_R1_T_full;2025-08-15T02:25:14.330Z;SUCCEEDED;DL_RAW.camsdata_t251_r1_t1;dl_tm.t1151072_r1_t;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;DL_RAW.CAMsNBO_INCsDOCUMENT_TAXPAYER;dl_tm.t1151095_document;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsnbo_incsdocument;dl_tm.t1110012_document;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TMP_TM_T1151095_DOCUMENT_full;2025-08-15T00:55:14.759Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1151095_document;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_DOCUMENT_full;2025-08-15T02:23:02.685Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1110012_document;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TMP_TM_T1151095_DOCUMENT_full;2025-08-15T00:55:14.759Z;SUCCEEDED;dl_raw.camsnbo_incsdocument;dl_tm.t1151095_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TMP_NBO_ACTUAL_full;2025-08-15T00:50:03.143Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1151072_document;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_R1_T_full;2025-08-15T02:37:51.602Z;SUCCEEDED;dl_tm.t1110012_r1_m;dl_tm.t1110012_r1_t;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TMP_TM_T1110012_DOCUMENT_full;2025-08-15T00:52:14.711Z;SUCCEEDED;dl_raw.camsnbo_incsdocument;dl_tm.t1110012_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;dl_raw.camsnbo_incscomplect;dl_tm.t1151072_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;DL_RAW.CAMsNBO_INCsDOCUMENT;dl_tm.t1151072_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;DL_RAW.CAMsNBO_INCsDOCUMENT_TAXPAYER;dl_tm.t1151072_document;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;dl_raw.camsknp_complex;dl_tm.t1151095_document;3
i$cam.v$soi_akciz_1151095;wf_TM_HIVE_DL_RAW_2_DL_TM_T1151095_full;tsk_sql_transformer_DL_TM_T1151095_DOCUMENT_full;2025-08-15T02:19:50.767Z;SUCCEEDED;dl_raw.camsnbo_incsdocument;dl_tm.t1151095_document;3
i$cam.v$soi_vodnal;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1151072_DOCUMENT_full;tsk_sql_transformer_DL_TM_T1151072_DOCUMENT_full;2025-08-15T02:16:14.675Z;SUCCEEDED;dl_raw.camsnbo_incsdocument_state;dl_tm.t1151072_document;3
i$cam.v$soi_lic_zhm;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[full_t97_copy_data];tsk_import_[dl_raw]_[camsdata_t097_r1_t1]_[copy_data];2025-08-18T22:13:14.272Z;SUCCEEDED;DL_RAW.camsdata_t097_r1_t1;DL_RAW.camsdata_t097_r1_t1;3
i$cam.v$soi_akciz_1151095;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[full_t557_copy_data];tsk_import_[dl_raw]_[camsdata_t557_r1]_[copy_data];2025-08-18T22:09:14.278Z;SUCCEEDED;DL_RAW.camsdata_t557_r1;DL_RAW.camsdata_t557_r1;3
i$cam.v$soi_lic_zhm;wf_DFL_EXADATA_CAMsKNP_2_hive_dl_raw_large_full;tsk_diff_transformer_DL_RAW_CAMsKNP_COMPLEX_measurement;2025-07-18T17:46:38.899Z;SUCCEEDED;DL_INTERFACE.CAMsKNP_COMPLEX;dl_raw.camsknp_complex;3
i$cam.v$soi_lic_zhm;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[large_full_camsknp_copy_data];tsk_import_[dl_raw]_[camsknp_complex]_[copy_data];2025-08-15T16:19:50.521Z;SUCCEEDED;DL_RAW.camsknp_complex;dl_raw.camsknp_complex;3
i$cam.v$soi_vodnal;wf_SKUAD_TSD_EXADATA_CAMsKNP_2_HIVE_DL_RAW_large_tables_full_02;tsk_diff_transformer_DL_RAW_CAMSKNP_COMPLEX_measurement_full;2024-10-19T06:16:44.415Z;SUCCEEDED;DL_INTERFACE.camsknp_complex;dl_raw.camsknp_complex;3
i$cam.v$soi_vodnal;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[large_full_camsknp_copy_data];tsk_import_[dl_raw]_[camsknp_complex]_[copy_data];2025-08-15T16:19:50.521Z;SUCCEEDED;DL_RAW.camsknp_complex;dl_raw.camsknp_complex;3
i$cam.v$soi_akciz_1151095;wf_SKUAD_TSD_EXADATA_CAMsDATA_2_HIVE_DL_RAW_full_T557;tsk_diff_transformer_DL_RAW_CAMSDATA_T557_R1_measurement_full;2025-07-15T20:55:17.549Z;SUCCEEDED;DL_INTERFACE.camsdata_t557_r1;DL_RAW.camsdata_t557_r1;3
i$cam.v$soi_akciz_1151095;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[full_camsnbo_copy_data];tsk_import_[dl_raw]_[camsnbo_incscomplect]_[copy_data];2025-08-08T10:05:52.756Z;SUCCEEDED;DL_RAW.camsnbo_incscomplect;dl_raw.camsnbo_incscomplect;3
i$cam.v$soi_akciz_1151095;wf_DFL_EXADATA_CAMsNBO_2_hive_dl_raw_full;tsk_diff_transformer_DL_RAW_CAMsNBO_INCsCOMPLECT_measurement_full;2025-08-19T02:21:04.795Z;SUCCEEDED;dl_interface.camsnbo_incscomplect;dl_raw.camsnbo_incscomplect;3
i$cam.v$soi_akciz_1151095;wf_DFL_EXADATA_CAMsNBO_2_hive_dl_raw_full;tsk_diff_transformer_DL_RAW_CAMsNBO_INCsDOCUMENT_measurement;2025-08-19T03:06:03.446Z;SUCCEEDED;dl_interface.CAMsNBO_INCsDOCUMENT;dl_raw.CAMsNBO_INCsDOCUMENT;3
i$cam.v$soi_vodnal;wf_DFL_EXADATA_CAMsNBO_2_hive_dl_raw_full;tsk_diff_transformer_DL_RAW_CAMsNBO_CAMsNBO_INCsDOCUMENT_TAXPAYER_measurement_full;2025-08-19T01:00:38.916Z;SUCCEEDED;DL_INTERFACE.CAMsNBO_INCsDOCUMENT_TAXPAYER;DL_RAW.CAMsNBO_INCsDOCUMENT_TAXPAYER;3
i$cam.v$soi_vodnal;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[full_t251_copy_data];tsk_import_[dl_raw]_[camsdata_t251_r1_t1]_[copy_data];2025-08-19T06:38:26.363Z;SUCCEEDED;DL_RAW.camsdata_t251_r1_t1;DL_RAW.camsdata_t251_r1_t1;3
i$cam.v$soi_lic_zhm;wf_[adh3_hive]_[dp_dsb]_[dl_raw]_2_[adh1_hive]_[dp_dsb]_[dl_raw]_[full_camsnbo_copy_data];tsk_import_[dl_raw]_[camsnbo_incscomplect]_[copy_data];2025-08-08T10:05:52.756Z;SUCCEEDED;DL_RAW.camsnbo_incscomplect;dl_raw.camsnbo_incscomplect;3
i$cam.v$soi_vodnal;wf_SKUAD_TSD_EXADATA_CAMsDATA_2_HIVE_DL_RAW_full_T251;tsk_diff_transformer_DL_RAW_CAMSDATA_T251_R1_measurement_full;2025-07-03T14:15:33.594Z;SUCCEEDED;DL_INTERFACE.camsdata_t251_r1;DL_RAW.camsdata_t251_r1;3
i$cam.v$soi_vodnal;wf_DFL_EXADATA_CAMsNBO_2_hive_dl_raw_full;tsk_diff_transformer_DL_RAW_CAMsNBO_INCsDOCUMENT_measurement;2025-08-19T03:06:03.446Z;SUCCEEDED;dl_interface.CAMsNBO_INCsDOCUMENT;dl_raw.CAMsNBO_INCsDOCUMENT;3
i$cam.v$soi_akciz_1151095;wf_SKUAD_TSD_EXADATA_CAMsKNP_2_HIVE_DL_RAW_large_tables_full_02;tsk_diff_transformer_DL_RAW_CAMSKNP_COMPLEX_measurement_full;2024-10-19T06:16:44.415Z;SUCCEEDED;DL_INTERFACE.camsknp_complex;dl_raw.camsknp_complex;3
i$cam.v$soi_akciz_1151095;wf_DFL_EXADATA_CAMsNBO_2_hive_dl_raw_full;tsk_diff_transformer_DL_RAW_CAMsNBO_CAMsNBO_INCsDOCUMENT_TAXPAYER_measurement_full;2025-08-19T01:00:38.916Z;SUCCEEDED;DL_INTERFACE.CAMsNBO_INCsDOCUMENT_TAXPAYER;DL_RAW.CAMsNBO_INCsDOCUMENT_TAXPAYER;3
i$cam.v$soi_lic_zhm;wf_TM_HIVE_DL_RAW_2_HIVE_DL_TM_T1110012_full;tsk_sql_transformer_DL_TM_T1110012_R1_M_full;2025-08-15T02:28:50.621Z;SUCCEEDED;DL_RAW.camsdata_t097_r1;dl_tm.t1110012_r1_m;3
